Name,ID,Year,Yahoo Fantasy Points,IP,Hits,Strikeouts,Walks,Earned Runs,Wins,Losses,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Crowe, Wil",640444,2021,114.6,116.2,126,111,57,71,4,8,0.255,0.455,0.369,0.347,0.345,0.201,88.8,13.7,33.4,9.4,37.1,77.98115029,93.99425176,25.3,44.7
"Cueto, Johnny",456501,2022,254.3,158.1,161,102,33,59,8,10,0.263,0.408,0.31,0.311,0.305,0.145,87.7,13.3,33.7,7.3,35.9,76.29362242,93.65877503,17.6,49.8
"Darvish, Yu",506433,2023,225.3,136.1,134,141,42,69,8,10,0.242,0.375,0.321,0.302,0.308,0.133,88.4,13.7,33,6.8,38.2,77.26003358,93.94911879,25,46.4
"Darvish, Yu",506433,2022,500.6,194.2,148,197,37,67,16,8,0.226,0.388,0.259,0.291,0.275,0.161,88.5,17,31.2,8.8,37.1,77.84845981,93.61482387,25.1,49.7
"Darvish, Yu",506433,2021,344.3,166.1,138,199,44,78,8,11,0.208,0.376,0.301,0.282,0.269,0.168,88.2,16.6,35.1,8.8,34.9,78.08731436,93.20342995,27.3,47.6
"Davies, Zach",605200,2022,193.3,134.1,122,102,52,61,2,5,0.25,0.43,0.315,0.329,0.321,0.18,87.4,13,31.6,8,34.5,75.6872467,93.59693403,21.4,42.2
"Davies, Zach",605200,2021,101,148,162,114,75,95,6,12,0.293,0.487,0.366,0.375,0.379,0.193,89.8,11,36.2,9.1,43.3,78.66360878,94.68325686,22.3,43.2
"DeSclafani, Anthony",543101,2021,382.6,167.2,141,152,42,59,13,7,0.241,0.41,0.276,0.304,0.291,0.169,88.9,11.6,32.7,8.1,38.8,77.77843466,94.26452263,24,48.9
"Detmers, Reid",672282,2023,233.6,148.2,141,168,60,74,4,10,0.253,0.398,0.321,0.327,0.34,0.144,89.8,15.8,37.2,6.2,41.4,79.2733503,94.45708152,27.1,48.8
"Detmers, Reid",672282,2022,250,129,110,122,46,54,7,6,0.243,0.388,0.3,0.312,0.318,0.144,89.3,16.7,39.9,8,38.6,79.42641674,93.82983335,25.3,48.3
"Dunning, Dane",641540,2023,321.6,172.2,163,140,55,71,12,7,0.261,0.415,0.31,0.325,0.327,0.153,88.8,10.8,32.5,7.5,40.2,77.7592569,94.06919,22.2,47
"Dunning, Dane",641540,2022,204.3,153.1,158,137,62,76,4,8,0.25,0.4,0.344,0.327,0.332,0.15,87.9,5.4,30,8.9,38,75.65170802,94.08939507,24.4,44.4
"Dunning, Dane",641540,2021,153.6,117.2,126,114,43,59,5,10,0.265,0.419,0.336,0.333,0.338,0.154,89.2,6.7,31.4,8.1,43.5,77.8865937,94.65011525,23.2,46.3
"Eflin, Zach",621107,2023,437.6,177.2,158,186,24,69,16,8,0.222,0.378,0.276,0.27,0.252,0.157,87.5,9.1,29.2,9,35.1,75.55741481,93.73501605,24,49.9
"Elder, Bryce",693821,2023,319.6,174.2,160,128,63,74,12,4,0.264,0.416,0.309,0.329,0.335,0.153,89.9,8.5,32,6,41,79.50245455,94.39894727,23.5,46.3
"Eovaldi, Nathan",543135,2023,319,144,117,132,47,58,12,5,0.238,0.397,0.296,0.308,0.307,0.159,88.9,6.4,30.1,7.9,43.1,77.3149078,94.41575183,26.3,47.8
"Eovaldi, Nathan",543135,2021,382.3,182.1,182,195,35,76,11,9,0.238,0.366,0.298,0.283,0.281,0.127,88,12.8,37,6.3,36.4,76.96402586,93.6398384,25.9,51.6
"Fedde, Erick",607200,2022,69,127,149,94,58,82,6,13,0.283,0.451,0.362,0.356,0.356,0.167,89.5,13.4,34.9,8.1,43.5,78.2401011,94.65193275,18.3,43
"Fedde, Erick",607200,2021,163.3,133.1,144,128,48,81,7,9,0.263,0.456,0.34,0.337,0.328,0.193,89.8,7.3,31.1,9.3,40.6,78.49319753,94.76237309,21.9,44.9
"Flaherty, Jack",656427,2023,187.3,144.1,162,148,66,80,8,9,0.27,0.421,0.356,0.343,0.358,0.151,87.9,11.7,38.5,7.3,38.3,76.59566512,93.75944007,26.6,44
"Flexen, Chris",623167,2022,204.6,137.2,132,95,51,57,8,9,0.256,0.43,0.315,0.331,0.324,0.174,89.1,18.4,35.7,9,40,78.17888445,94.16594685,21.7,48.8
"Flexen, Chris",623167,2021,333.6,179.2,185,125,40,72,14,6,0.261,0.427,0.311,0.317,0.305,0.166,89.5,11.5,33.9,6.3,38.1,79.43513544,94.03063919,19.2,49.8
"Foltynewicz, Mike",592314,2021,121,139,139,97,36,84,2,12,0.266,0.49,0.355,0.349,0.323,0.224,89.8,16.1,37.2,9.2,43,78.83503621,94.82257023,18.3,47.4
"France, J.P.",641585,2023,233.3,136.1,138,101,47,58,11,6,0.267,0.454,0.319,0.337,0.328,0.187,89.6,13.1,33.9,8.1,38.7,79.32435423,94.10833457,21.9,44.9
"Freeland, Kyle",607536,2023,116.6,155.2,187,94,42,87,6,14,0.294,0.508,0.36,0.361,0.338,0.214,90.2,14.3,35,8.7,43.5,79.78008045,94.64855979,17.1,51
"Freeland, Kyle",607536,2022,221.6,174.2,193,131,53,88,9,11,0.271,0.457,0.346,0.347,0.337,0.186,89.8,12.7,35.2,9.7,42.4,79.40627579,94.45487619,20.8,47.5
