Name,ID,Year,Yahoo Fantasy Points,IP,Hits,Strikeouts,Walks,Earned Runs,Wins,Losses,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Urquidy, Jose",664353,2022,315.3,164.1,154,134,38,72,13,8,0.256,0.449,0.316,0.329,0.306,0.193,89.7,17.2,34.7,9.4,40.8,79.0482898,94.32526205,22.3,52
"Valdez, Framber",664285,2023,424,198,166,200,57,76,12,11,0.253,0.41,0.287,0.32,0.317,0.157,91.5,4.2,30.9,8,45.6,81.84459087,95.10129987,26.7,47.2
"Valdez, Framber",664285,2022,493.3,201.1,166,194,67,63,17,6,0.227,0.33,0.272,0.284,0.301,0.102,89.8,-3.6,24,5.8,41.6,78.81729982,94.70699265,25.6,47
"Valdez, Framber",664285,2021,290.6,134.2,110,125,58,47,11,6,0.231,0.343,0.288,0.301,0.324,0.112,90.8,-5.5,21.4,5.8,44.4,80.44240186,94.90935976,26,42.4
"Verlander, Justin",434378,2023,355.3,162.1,139,144,45,58,13,8,0.229,0.391,0.284,0.295,0.287,0.163,90,18.9,30.5,8.2,41.3,79.99040602,94.26951297,22.5,49.6
"Verlander, Justin",434378,2022,567,175,116,185,29,34,18,4,0.207,0.331,0.222,0.255,0.248,0.124,87.8,16.9,32.5,6.3,34.8,77.13579434,93.33058819,24.2,53.7
"Wacha, Michael",608379,2023,324.3,134.1,113,124,43,48,14,4,0.25,0.421,0.291,0.318,0.312,0.171,88.1,18.5,38.6,7.3,35.5,77.38429581,93.5172127,24.6,47.9
"Wacha, Michael",608379,2022,294.3,127.1,111,104,31,47,11,2,0.254,0.446,0.301,0.329,0.306,0.192,88.2,12.8,35.4,9.6,35.4,76.73331,93.92688421,20.7,50.5
"Wacha, Michael",608379,2021,180.6,124.2,132,121,31,70,3,5,0.283,0.499,0.334,0.355,0.33,0.216,89.9,13.3,39.8,10.5,43,78.63348082,94.87036658,23,53.6
"Wainwright, Adam",425794,2022,307.6,191.2,192,143,54,79,11,12,0.27,0.419,0.306,0.328,0.326,0.148,87.8,11,37.4,6.5,36.6,76.63692766,93.59496988,16.9,43.5
"Wainwright, Adam",425794,2021,484.3,206.1,168,174,50,70,17,7,0.251,0.388,0.273,0.302,0.304,0.137,88.2,10,34.3,6.2,35.6,77.65633007,93.42671367,19.7,43.8
"Waldichuk, Ken",686610,2023,142,141,149,132,71,84,4,9,0.242,0.42,0.361,0.332,0.337,0.178,88.3,14.5,34.7,7.7,38.5,77.10348882,93.79839827,25.1,47.5
"Walker, Taijuan",592836,2023,305.6,172.2,155,138,71,84,15,6,0.248,0.405,0.313,0.322,0.329,0.157,89.1,11.1,33.1,6.8,40.9,77.90190008,94.41770536,20.5,44.1
"Walker, Taijuan",592836,2022,328.3,157.1,143,132,45,61,12,5,0.245,0.395,0.293,0.308,0.305,0.15,89.3,11.3,33.7,7.3,40.6,78.83977178,94.00831398,23.6,47.3
"Walker, Taijuan",592836,2021,257,159,133,146,55,79,7,11,0.246,0.442,0.301,0.328,0.314,0.197,89.1,12.4,30.5,10,39.4,78.12519686,94.20282884,23.4,46.2
"Weaver, Luke",596133,2023,92.6,123.2,155,109,40,88,3,6,0.286,0.494,0.385,0.357,0.34,0.209,89.3,15.4,40.2,9.8,42,78.04239848,94.5086799,21.6,47.3
"Webb, Logan",657277,2023,444,216,201,194,31,78,11,13,0.255,0.395,0.283,0.295,0.287,0.14,90.7,0.6,28.4,6.9,46,79.69594423,95.25216736,20.7,47.4
"Webb, Logan",657277,2022,422.3,192.1,174,163,49,62,15,9,0.247,0.364,0.283,0.295,0.301,0.116,88.9,3.1,29.3,5.5,39,78.05377022,94.04329137,24,47.3
"Webb, Logan",657277,2021,378.3,148.1,128,158,36,50,11,3,0.23,0.329,0.274,0.276,0.288,0.099,88.1,-0.5,28.2,5.6,38.8,76.48803928,94.01339227,28.7,46.6
"Wheeler, Zack",554430,2023,462,192,168,212,39,77,13,6,0.23,0.351,0.277,0.277,0.277,0.122,86.9,14.2,35.1,5.1,36.4,75.39358592,93.26742057,28.6,51.3
"Wheeler, Zack",554430,2022,392,153,125,163,34,48,12,7,0.226,0.343,0.275,0.275,0.278,0.117,85.9,11.4,34,7.7,34.5,73.07377575,93.38915115,25.1,50.5
"Wheeler, Zack",554430,2021,559.3,213.1,169,247,46,66,14,10,0.215,0.318,0.257,0.258,0.265,0.103,84.6,8.4,31.2,4.6,28.5,71.90224295,92.68896537,26.5,51.9
"Williams, Trevor",592866,2023,115.3,144.1,178,111,52,89,6,10,0.281,0.501,0.377,0.36,0.342,0.22,88.3,15.9,36.9,10.2,38.6,77.00541603,93.99725448,19,47.1
"Wilson, Bryse",669060,2022,88.6,115.2,132,79,32,71,3,9,0.291,0.474,0.356,0.358,0.347,0.183,90.9,11.5,37.6,7.7,43.8,80.68083332,94.94142239,17.8,47.8
"Wood, Alex",622072,2022,191.6,130.2,132,131,30,74,8,12,0.248,0.397,0.315,0.31,0.305,0.15,88.6,8.5,33.8,7.1,39.8,77.68885042,93.93483844,25,48.1
"Wood, Alex",622072,2021,314.6,138.2,125,152,39,59,10,4,0.239,0.377,0.298,0.304,0.311,0.137,89.7,7.1,33.1,5.3,40.5,79.4424607,94.22462027,27.3,47.5
"Woodruff, Brandon",605540,2022,426.3,153.1,122,190,42,52,13,4,0.212,0.349,0.282,0.277,0.273,0.137,88.8,16.8,34.1,7.1,37.5,77.94720367,93.9832442,31.1,49.4
"Woodruff, Brandon",605540,2021,468.3,179.1,130,211,43,51,9,10,0.226,0.353,0.252,0.279,0.281,0.127,86.2,10.6,36,5.8,32.7,73.41216332,93.48791715,28.2,51.1
"Wright, Kyle",657140,2022,457.3,180.1,156,174,53,64,21,5,0.244,0.384,0.288,0.306,0.308,0.139,89,4.4,31.1,6.8,41.1,77.91417628,94.36428554,26.3,48.8
"Yarbrough, Ryan",642232,2021,226,155,163,117,27,88,9,7,0.272,0.436,0.325,0.323,0.312,0.165,84.8,17.3,37.6,7.8,28.2,72.60564557,92.51757496,21.1,48.8
