Name,ID,Year,2022 Yahoo Fantasy Pts,2022 IP,2022 Hits,2022 Strikeouts,2022 Walks,2022 Earned Runs,2022 Wins,2022 Losses,2022 xba,2022 xslg,2022 woba,2022 xwoba,2022 xobp,2022 xiso,2022 exit_velocity_avg,2022 launch_angle_avg,2022 sweet_spot_percent,2022 barrel_batted_rate,2022 hard_hit_percent,2022 avg_best_speed,2022 avg_hyper_speed,2022 whiff_percent,2022 swing_percent,2023 Yahoo Fantasy Pts,2023 IP,2023 Hits,2023 Strikeouts,2023 Walks,2023 Earned Runs,2023 Wins,2023 Losses,2023 xba,2023 xslg,2023 woba,2023 xwoba,2023 xobp,2023 xiso,2023 exit_velocity_avg,2023 launch_angle_avg,2023 sweet_spot_percent,2023 barrel_batted_rate,2023 hard_hit_percent,2023 avg_best_speed,2023 avg_hyper_speed,2023 whiff_percent,2023 swing_percent
"Pivetta, Nick",601713,2022,272.6,179.2,175,175,73,91,10,12,0.248,0.433,0.33,0.332,0.324,0.185,90.7,15.2,36.3,9,45.6,80.45,94.88,23.5,47.6,326.6,142.2,110,183,50,64,10,9,0.223,0.414,0.296,0.308,0.297,0.192,90.5,13.4,40.1,11.8,43.8,80.33,94.78,29.6,48.9
"Ryan, Joe",657746,2022,339,147,115,151,47,58,13,8,0.215,0.373,0.294,0.294,0.289,0.158,88.2,24.2,36.1,8.6,35.4,77.49,93.6,25.6,51,334.6,161.2,155,197,34,81,11,10,0.224,0.403,0.316,0.291,0.271,0.179,90,20.4,34,8.7,41.6,79.8,94.41,26.8,55.1
"Sandoval, Patrick",663776,2022,285.6,148.2,139,151,60,48,6,9,0.245,0.359,0.294,0.307,0.323,0.114,87.3,11.4,31.6,5.7,34,76.42,93.08,29.5,48.2,179.6,144.2,145,128,74,66,7,13,0.261,0.403,0.318,0.333,0.351,0.142,87.6,9.4,38,7,35.1,76.33,93.46,27.7,46.6
"Scherzer, Max",453286,2022,432.3,145.1,108,173,24,37,11,5,0.202,0.339,0.254,0.265,0.253,0.137,87.8,21.3,32.2,8.4,33.9,76.74,93.47,30.6,52.2,366.6,152.2,126,174,45,64,13,6,0.207,0.375,0.298,0.281,0.269,0.168,88.5,20.2,32.2,8.5,36.9,77.75,93.79,28.6,51
"Singer, Brady",663903,2022,349.3,153.1,140,150,35,55,10,5,0.247,0.397,0.3,0.309,0.304,0.15,89.3,8.6,33.2,8.2,40.9,78.54,94.2,22.9,44.3,168.6,159.2,182,133,49,98,8,11,0.276,0.452,0.346,0.34,0.334,0.176,91,9,34.8,7.8,48.6,80.38,95.28,22.7,45.6
"Snell, Blake",605483,2022,295,128,103,171,51,48,8,10,0.207,0.337,0.282,0.279,0.286,0.13,90.1,17.1,39.2,7.4,39.5,80.4,94.17,32.8,47.9,495,180,115,234,99,45,14,9,0.208,0.35,0.266,0.3,0.318,0.143,87.2,10.6,37,7.4,33.8,75.67,93.36,37.3,42.9
"Steele, Justin",657006,2022,223,119,111,126,50,42,4,7,0.237,0.336,0.296,0.295,0.316,0.099,87.1,7.5,31,3.9,33.7,76.15,93.1,24,47.3,429.3,173.1,167,176,36,59,16,5,0.25,0.365,0.291,0.29,0.295,0.116,87.8,9.3,33.4,5.4,36.6,76.61,93.56,23.8,52.9
"Strider, Spencer",675911,2022,416.6,131.2,86,202,45,39,11,5,0.179,0.279,0.235,0.242,0.254,0.1,88,14.1,32.7,6.1,36,77.32,93.44,34.9,50,550.6,186.2,146,281,58,80,20,5,0.205,0.345,0.279,0.273,0.275,0.14,88.5,17,40.2,8.2,36.1,77.73,93.78,38.6,53
"Stroman, Marcus",573186,2022,261.6,138.2,123,119,36,54,6,7,0.254,0.389,0.291,0.308,0.306,0.136,89,7,32,6.6,40.7,77.85,94.28,22.4,45.9,240.6,136.2,120,119,52,60,10,9,0.265,0.387,0.285,0.318,0.335,0.122,90.3,3,30.7,5,41.4,79.85,94.63,22.3,45.1
"Suarez, Ranger",624133,2022,276.3,155.1,149,129,58,63,10,7,0.241,0.368,0.314,0.302,0.311,0.127,87.5,5.1,27.9,6.8,34.9,75.99,93.55,21.3,45.5,191,125,129,119,48,58,4,6,0.262,0.403,0.325,0.321,0.33,0.141,87.8,8.1,35.3,7.5,36.1,76.42,93.62,23,45
"Taillon, Jameson",592791,2022,373.3,177.1,168,151,32,77,14,5,0.26,0.432,0.308,0.317,0.297,0.172,88.5,14.5,34.5,8.3,36.2,77.24,94.01,23,49.1,229.3,154.1,156,140,41,83,8,10,0.259,0.462,0.322,0.332,0.311,0.203,88.3,16.7,36.2,10.7,38.4,76.83,94.06,22,49.1
"Valdez, Framber",664285,2022,493.3,201.1,166,194,67,63,17,6,0.227,0.33,0.272,0.284,0.301,0.102,89.8,-3.6,24,5.8,41.6,78.82,94.71,25.6,47,424,198,166,200,57,76,12,11,0.253,0.41,0.287,0.32,0.317,0.157,91.5,4.2,30.9,8,45.6,81.84,95.1,26.7,47.2
"Verlander, Justin",434378,2022,567,175,116,185,29,34,18,4,0.207,0.331,0.222,0.255,0.248,0.124,87.8,16.9,32.5,6.3,34.8,77.14,93.33,24.2,53.7,355.3,162.1,139,144,45,58,13,8,0.229,0.391,0.284,0.295,0.287,0.163,90,18.9,30.5,8.2,41.3,79.99,94.27,22.5,49.6
"Wacha, Michael",608379,2022,294.3,127.1,111,104,31,47,11,2,0.254,0.446,0.301,0.329,0.306,0.192,88.2,12.8,35.4,9.6,35.4,76.73,93.93,20.7,50.5,324.3,134.1,113,124,43,48,14,4,0.25,0.421,0.291,0.318,0.312,0.171,88.1,18.5,38.6,7.3,35.5,77.38,93.52,24.6,47.9
"Walker, Taijuan",592836,2022,328.3,157.1,143,132,45,61,12,5,0.245,0.395,0.293,0.308,0.305,0.15,89.3,11.3,33.7,7.3,40.6,78.84,94.01,23.6,47.3,305.6,172.2,155,138,71,84,15,6,0.248,0.405,0.313,0.322,0.329,0.157,89.1,11.1,33.1,6.8,40.9,77.9,94.42,20.5,44.1
"Webb, Logan",657277,2022,422.3,192.1,174,163,49,62,15,9,0.247,0.364,0.283,0.295,0.301,0.116,88.9,3.1,29.3,5.5,39,78.05,94.04,24,47.3,444,216,201,194,31,78,11,13,0.255,0.395,0.283,0.295,0.287,0.14,90.7,0.6,28.4,6.9,46,79.7,95.25,20.7,47.4
"Wheeler, Zack",554430,2022,392,153,125,163,34,48,12,7,0.226,0.343,0.275,0.275,0.278,0.117,85.9,11.4,34,7.7,34.5,73.07,93.39,25.1,50.5,462,192,168,212,39,77,13,6,0.23,0.351,0.277,0.277,0.277,0.122,86.9,14.2,35.1,5.1,36.4,75.39,93.27,28.6,51.3
